year,variable,label,concept
2007,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2007,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2007,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2008,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2009,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2010,B07011_001,Estimate!!Median income in the past 12 months!!Total,NA
2010,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,NA
2010,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,NA
2010,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,NA
2010,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,NA
2010,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,NA
2011,B07011_001,Estimate!!Median income in the past 12 months!!Total,NA
2011,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,NA
2011,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,NA
2011,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,NA
2011,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,NA
2011,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,NA
2012,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2012,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2012,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2012,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2012,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2012,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2013,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2014,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2015,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2016,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2017,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_001,Estimate!!Median income in the past 12 months --!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_002,Estimate!!Median income in the past 12 months --!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_003,Estimate!!Median income in the past 12 months --!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_004,Estimate!!Median income in the past 12 months --!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_005,Estimate!!Median income in the past 12 months --!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2018,B07011_006,Estimate!!Median income in the past 12 months --!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_001,Estimate!!Median income in the past 12 months --!!Total:,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_002,Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_003,Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_004,Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_005,Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2019,B07011_006,Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
